5.9386,-1.925,6.6292,0.4661,-3.506,41.728,0.1950
6.9474,-1.060,6.9651,0.4484,-3.171,52.286,0.2995
8.1546,-0.319,7.9794,0.3990,-2.156,50.121,0.3734
8.4579,-0.198,7.6871,0.4127,-2.448,51.165,0.3840
9.1427,1.4626,8.7972,0.3631,-1.338,44.593,0.4567
8.7960,0.7000,7.9175,0.4019,-2.218,46.717,0.4436
9.2916,1.3969,8.6954,0.3674,-1.440,44.822,0.4661
10.198,1.8066,9.4904,0.3353,-0.645,43.807,0.5028
10.384,1.9327,9.1881,0.3472,-0.947,41.690,0.5137
10.670,1.8977,9.8881,0.3203,-0.248,43.009,0.4916
10.346,2.5708,9.8078,0.3233,-0.328,40.320,0.5197
9.8835,2.2351,9.3551,0.3405,-0.780,41.808,0.5013
10.030,0.8205,8.8039,0.3629,-1.332,49.731,0.4391
11.639,3.3467,10.820,0.2877,0.6843,39.738,0.5610
10.729,2.2332,10.039,0.3147,-0.096,43.215,0.5043
10.731,2.9378,10.054,0.3142,-0.081,40.371,0.5232
10.695,3.8967,10.605,0.2949,0.4689,37.354,0.5391
10.460,1.2551,9.7214,0.3265,-0.414,46.068,0.4367
11.279,3.4785,11.046,0.2803,0.9099,37.245,0.5455
11.991,2.9565,11.088,0.2789,0.9521,38.980,0.5497
11.485,2.9830,10.901,0.2850,0.7650,39.721,0.5226
11.302,2.9507,11.052,0.2801,0.9161,40.022,0.5258
12.314,4.7778,11.646,0.2616,1.5104,34.602,0.6164
11.530,3.5962,10.892,0.2853,0.7568,38.182,0.5398
12.629,5.6304,12.180,0.2460,2.0438,31.817,0.6299
12.166,4.8049,11.566,0.2640,1.4302,34.360,0.5856
12.419,4.8038,11.768,0.2579,1.6323,34.302,0.6019
12.202,6.6188,12.168,0.2463,2.0323,28.974,0.6582
12.623,6.3149,12.320,0.2420,2.1848,29.816,0.6441
12.275,4.9554,11.667,0.2609,1.5312,33.842,0.6006
13.411,6.9255,12.884,0.2268,2.7485,28.091,0.6667
13.178,6.4431,12.522,0.2365,2.3860,29.470,0.6579
12.778,5.4069,11.541,0.2647,1.4055,32.614,0.6227
13.644,10.154,12.827,0.2283,2.6912,20.355,0.7361
12.678,5.0264,11.406,0.2689,1.2699,33.865,0.5920
13.552,7.8762,12.304,0.2425,2.1685,25.433,0.6952
13.831,8.4718,12.175,0.2461,2.0395,23.839,0.7115
13.237,6.5273,11.834,0.2560,1.6982,29.100,0.6510
13.236,7.3290,11.747,0.2586,1.6108,27.451,0.6699
